product_id,product_name,product_price
1,Bar Nature Valley,11.81
2,Puree - Passion Fruit,11.08
3,Rice - Aborio,71.62
4,Tea - Jasmin Green,15.96
5,"Pasta - Rotini, Dry",73.57
6,Beef - Tenderloin Tails,7.85
7,"Ice - Clear, 300 Lb For Carving",25.19
8,Nacho Chips,50.88
9,Hold Up Tool Storage Rack,90.17
10,Trueblue - Blueberry Cranberry,19.51
11,Mousse - Mango,18.75
12,Muffin Hinge - 211n,97.96
13,"Soup - Beef Conomme, Dry",79.47
14,Muffin Mix - Chocolate Chip,10.54
15,Lettuce - Arugula,75.08
16,Cheese - Le Cheve Noir,69.45
17,Peach - Halves,65.79
18,Ham - Cooked Bayonne Tinned,78.62
19,Venison - Liver,19.67
20,Squash - Butternut,32.13
21,"Jam - Strawberry, 20 Ml Jar",70.42
22,Bread - Italian Sesame Poly,94.76
23,Cheese - Comte,31.78
24,Apricots Fresh,73.58
25,"Nut - Cashews, Whole, Raw",14.85
26,Pastry - Key Limepoppy Seed Tea,24.13
27,Bread - 10 Grain Parisian,73.91
28,"Mushroom - Shitake, Dry",55.53
29,Pate - Cognac,39.99
30,Celery,72.06
31,Cleaner - Pine Sol,71.94
32,"Cheese - Romano, Grated",42.29
33,Table Cloth 54x72 White,41.7
34,Mcgillicuddy Vanilla Schnap,38.02
35,Soup - Campbells Mushroom,10.7
36,Rice Wine - Aji Mirin,60.56
37,Eggroll,74.71
38,Wine - German Riesling,41.21
39,Bar Mix - Lime,12.21
40,Extract Vanilla Pure,89.05
41,Sugar - Cubes,69.12
42,Sprouts - Alfalfa,74.97
43,Wine - Beaujolais Villages,19.61
44,Coffee Guatemala Dark,21.84
45,Cleaner - Bleach,52.86
46,Bread - Triangle White,91.83
47,Toamtoes 6x7 Select,36.06
48,Beef - Montreal Smoked Brisket,46.22
49,Wine - Zinfandel California 2002,47.81
50,Chips - Assorted,29.87
51,Longos - Cheese Tortellini,8.33
52,Muffin - Zero Transfat,51.29
53,Versatainer Nc - 888,86.14
54,Syrup - Chocolate,73.87
